role	word	 frq
TRG	uuh	5
OTH	mijne	66
OTH	sigaretjes	8
TRG	sigaretje	12
TRG	geretje	2
OTH	geretjes	2
TRG	plitie	1
TRG	plitiemannen	2
TRG	wievwievwiev	5
OTH	pepepepepepe	1
OTH	pepepe	2
OTH	aanrijen	1
OTH	pepepepe	2
TRG	Steevie	1
TRG	gete	1
OTH	toetoet	28
TRG	pepepepe	1
OTH	twwee	4
OTH	vuilinsbak	1
TRG	happe	7
TRG	suikerkoekje	1
OTH	suikerkoekjes	3
TRG	zlatte	1
OTH	wat's	1
TRG	Ievie	1
TRG	blokkie	1
OTH	kussie	2
OTH	gefe	2
TRG	Vieven	2
TRG	pitool	1
OTH	traktor	85
OTH	Ford	1
OTH	hijskraanwagen	1
TRG	slarties	1
TRG	Smarties	4
OTH	Smarties	2
TRG	snoepies	8
OTH	snoepies	4
TRG	varkje	1
OTH	varkje	1
OTH	Pietenmuts	1
OTH	Pietenhoed	1
OTH	feesthoed	1
OTH	oehoehoe	3
TRG	wor	2
OTH	doorsl	1
OTH	Sinterklaasliedje	9
OTH	Zie	2
OTH	Kapoentje	3
OTH	Jopie	32
OTH	Vries	2
TRG	a'maal	16
TRG	peppen	3
OTH	Magnum	1
TRG	piepauto	1
OTH	piepauto	3
OTH	groterd	1
OTH	jis	2
OTH	peppen	3
OTH	pepauto	1
OTH	Epda	1
OTH	zz	10
OTH	helekopter	1
OTH	Pink	3
OTH	Panther	2
OTH	teeveetje	2
OTH	leesboekjes	1
TRG	Groovie	3
OTH	Groovie	1
OTH	geod	2
OTH	Ludi	2
TRG	Ludi	3
TRG	Daja	1
OTH	Daja	1
TRG	vleigtuig	1
TRG	naartoe	46
TRG	Tante	2
TRG	Ria's	1
TRG	zwat	2
TRG	ennn	4
OTH	wastie	2
TRG	tie	450
TRG	kindeje	1
TRG	chool	9
TRG	ekocht	1
TRG	Rawly	1
TRG	daaro	3
OTH	Otje	15
TRG	Otje	1
TRG	pipi	31
OTH	mu	2
TRG	Pietie	2
OTH	alma	2
TRG	babyvisjes	1
OTH	babyvisjes	1
OTH	issen	3
OTH	toos	7
OTH	ase	1
OTH	asse	1
TRG	ona	1
TRG	jouwe	18
OTH	kijke	158
OTH	aankeker	1
OTH	pe	3
OTH	Goofy	7
OTH	kikkes	1
OTH	brr	69
OTH	dite	1
OTH	han	7
OTH	line	5
OTH	ieke	1
OTH	tasse	3
OTH	hie	32
TRG	veerbeestje	1
OTH	uite	25
TRG	spele	3
OTH	spele	32
OTH	ita	8
OTH	hihihier	1
OTH	tuise	2
OTH	tou	1
TRG	domijo	1
OTH	ija	1
OTH	plate	3
OTH	ete	73
TRG	konij	3
TRG	haatjes	3
TRG	hoehoehoe	1
TRG	af gedroog	1
TRG	lape	12
TRG	laapkamer	4
TRG	ehm	134
OTH	prrrr	4
TRG	peuteseelzaal	2
TRG	peuterseelzaal	1
TRG	ammela	1
TRG	speelsgoed	1
TRG	lapen	5
TRG	peutepeelzaal	1
OTH	plekje	52
